CODE_UIC;CODE UIC8;GARE;Ligne;Handicap Moteur;Handicap Visuel;Handicap Auditif;Handicap Mental
682161;87682161;CESSON;LIGNE D;3.0;2.0;2.0;2.0
682435;87682435;HERICY;LIGNE R;3.0;3.0;3.0;3.0
276006;87276006;CREIL;LIGNE D;0.0;2.0;2.0;2.0
888717;87888717;LYCEE HENRI SELLIER;LIGNE T4;1.0;1.0;1.0;1.0
271429;87271429;SEVRAN-LIVRY;LIGNE B;2.0;2.0;2.0;2.0
381863;87381863;CORMEILLES EN PARISIS;LIGNE J;3.0;2.0;2.0;2.0
276519;87276519;CHAMPAGNE SUR OISE;LIGNE H;3.0;3.0;3.0;3.0
386763;87386763;ÉPÔNE-MÉZIERES;LIGNE N;3.0;2.0;2.0;2.0
276444;87276444;BORAN-SUR-OISE;LIGNE H;0.0;0.0;0.0;0.0
681312;87681312;VIRY CHATILLON;LIGNE D;3.0;2.0;2.0;2.0
545509;87545509;SAINT-CHERON;LIGNE C;3.0;2.0;2.0;2.0
276139;87276139;PONTOISE;LIGNE C;3.0;2.0;2.0;2.0
113001;87113001;PARIS EST;LIGNE P;2.0;2.0;2.0;2.0
381582;87381582;LIMAY;LIGNE J;3.0;3.0;3.0;3.0
393843;87393843;SAINT-QUENTIN EN YVELINES (MONTIGNY LE BRETONNEUX);LIGNE U;3.0;2.0;2.0;2.0
545210;87545210;SAINTE-GENEVIEVE-DES-BOIS;LIGNE C;3.0;2.0;2.0;2.0
382333;87382333;CHAVILLE RIVE DROITE;LIGNE L;2.0;2.0;2.0;2.0
393637;87393637;CHILLY-MAZARIN;LIGNE C;3.0;2.0;2.0;2.0
682476;87682476;GRANDE PAROISSE (LA);LIGNE R;3.0;3.0;3.0;3.0
381590;87381590;MANTES STATION;LIGNE J;3.0;2.0;2.0;2.0
393405;87393405;FONTENAY LE FLEURY;LIGNE N;3.0;2.0;2.0;2.0
271411;87271411;AULNAY SOUS BOIS;LIGNE T4;1.0;1.0;1.0;1.0
113845;87113845;COQUETIERS ( LES);LIGNE T4;1.0;1.0;1.0;1.0
393298;87393298;PERRAY (LE);LIGNE N;3.0;2.0;2.0;2.0
271486;87271486;PARC DES EXPOSITIONS;LIGNE B;2.0;2.0;2.0;2.0
386425;87386425;MAISONS LAFFITTE;LIGNE A;2.0;2.0;2.0;2.0
271452;87271452;VILLEPINTE;LIGNE B;2.0;2.0;2.0;2.0
393835;87393835;TRAPPES;LIGNE N;3.0;2.0;2.0;2.0
276493;87276493;MONTSOULT MAFFLIERS;LIGNE H;2.0;2.0;2.0;2.0
381509;87381509;MANTES LA JOLIE;LIGNE J;2.0;2.0;2.0;2.0
381194;87381194;CHARS;LIGNE J;3.0;3.0;3.0;3.0
271148;87271148;EPINAY SUR SEINE;LIGNE T11;1.0;1.0;1.0;1.0
382440;87382440;BOUGIVAL;LIGNE L;3.0;2.0;2.0;2.0
381798;87381798;VAL D'ARGENTEUIL;LIGNE J;2.0;2.0;2.0;2.0
382481;87382481;SAINT-NOM LA BRETECHE FORET DE MARLY;LIGNE L;2.0;2.0;2.0;2.0
276675;87276675;MÉRIEL;LIGNE H;3.0;3.0;3.0;3.0
381178;87381178;US;LIGNE J;3.0;3.0;3.0;3.0
116731;87116731;COUILLY SAINT-GERMAIN QUINCY;LIGNE P;3.0;3.0;3.0;3.0
381905;87381905;CERGY PREFECTURE;LIGNE A;2.0;2.0;2.0;2.0
116400;87116400;MONTRY CONDE;LIGNE P;3.0;3.0;3.0;3.0
276451;87276451;BRUYERES SUR OISE;LIGNE H;3.0;3.0;3.0;3.0
116319;87116319;LAGNY THORIGNY;LIGNE P;2.0;2.0;2.0;2.0
276667;87276667;MÉRY SUR OISE;LIGNE H;3.0;2.0;2.0;2.0
682203;87682203;BOIS LE ROI;LIGNE R;3.0;2.0;2.0;2.0
393611;87393611;LONGJUMEAU;LIGNE C;3.0;2.0;2.0;2.0
545467;87545467;ARPAJON;LIGNE C;3.0;2.0;2.0;2.0
381509;87381509;MANTES-LA-JOLIE;LIGNE N;3.0;2.0;2.0;2.0
382358;87382358;SAINT-CLOUD;LIGNE L;2.0;2.0;2.0;2.0
276535;87276535;VALMONDOIS;LIGNE H;3.0;2.0;2.0;2.0
393884;87393884;VILLIERS NEAUPHLE PONTCHARTRAIN;LIGNE N;3.0;3.0;3.0;3.0
116020;87116020;OZOIR LA FERRIERE;LIGNE E;2.0;2.0;2.0;2.0
113407;87113407;BONDY;LIGNE E;2.0;2.0;2.0;2.0
281899;87281899;HAUSSMANN SAINT-LAZARE;LIGNE E;2.0;2.0;2.0;2.0
276501;87276501;PRESLES COURCELLES;LIGNE H;3.0;3.0;3.0;3.0
276394;87276394;ÉCOUEN ÉZANVILLE;LIGNE H;3.0;2.0;2.0;2.0
116038;87116038;ROISSY EN BRIE;LIGNE E;2.0;2.0;2.0;2.0
271247;87271247;SAINT-OUEN;LIGNE C;2.0;2.0;2.0;2.0
271023;87271023;PARIS GARE DU NORD;LIGNE B;2.0;2.0;2.0;2.0
276469;87276469;PERSAN BEAUMONT;LIGNE H;3.0;2.0;2.0;2.0
116111;87116111;CHELLES GOURNAY;LIGNE E;2.0;2.0;2.0;2.0
281873;87281873;MAGENTA;LIGNE E;2.0;2.0;2.0;2.0
382382;87382382;PUTEAUX;LIGNE U;3.0;2.0;2.0;2.0
276071;87276071;FRANCONVILLE LE PLESSIS BOUCHARD;LIGNE H;3.0;2.0;2.0;2.0
382457;87382457;LOUVECIENNES;LIGNE L;3.0;2.0;2.0;2.0
116210;87116210;TOURNAN;LIGNE P;2.0;2.0;2.0;2.0
276063;87276063;CERNAY;LIGNE C;3.0;2.0;2.0;2.0
276022;87276022;ENGHIEN LES BAINS;LIGNE H;2.0;2.0;2.0;2.0
276097;87276097;PIERRELAYE;LIGNE H;3.0;2.0;2.0;2.0
382259;87382259;GARCHES MARNES LA COQUETTE;LIGNE L;2.0;2.0;2.0;2.0
113407;87113407;BONDY;LIGNE T4;1.0;1.0;1.0;1.0
271122;87271122;ÉPINAY VILLETANEUSE;LIGNE H;3.0;2.0;2.0;2.0
113696;87113696;ROSNY BOIS PERRIER;LIGNE E;3.0;2.0;2.0;2.0
684100;87684100;MONTIGNY SUR LOING;LIGNE R;3.0;3.0;3.0;3.0
393009;87393009;VERSAILLES CHANTIERS;LIGNE U;3.0;2.0;2.0;2.0
393314;87393314;RAMBOUILLET;LIGNE N;2.0;2.0;2.0;2.0
393363;87393363;BEYNES;LIGNE N;3.0;3.0;3.0;3.0
272054;87272054;THIEUX-NANTOUILLET;LIGNE K;3.0;3.0;3.0;3.0
682005;87682005;MELUN;LIGNE D;3.0;2.0;2.0;2.0
393843;87393843;SAINT-QUENTIN EN YVELINES (MONTIGNY LE BRETONNEUX);LIGNE N;3.0;2.0;2.0;2.0
545277;87545277;VILLENEUVE LE ROI;LIGNE C;3.0;2.0;2.0;2.0
116558;87116558;NANTEUIL SAACY;LIGNE P;3.0;2.0;2.0;2.0
382499;87382499;CERGY SAINT-CHRISTOPHE;LIGNE L;2.0;2.0;2.0;2.0
276097;87276097;PIERRELAYE;LIGNE C;3.0;2.0;2.0;2.0
276071;87276071;FRANCONVILLE-LE-PLESSIS-BOUCHARD;LIGNE C;3.0;2.0;2.0;2.0
381475;87381475;CHANTELOUP LES VIGNES;LIGNE J;3.0;2.0;2.0;2.0
393173;87393173;CHAVILLE-VELIZY;LIGNE C;3.0;2.0;2.0;2.0
682294;87682294;SAINT-MAMMES;LIGNE R;3.0;3.0;3.0;3.0
271536;87271536;DAMMARTIN-JUILLY-SAINT-MARD;LIGNE K;3.0;2.0;2.0;2.0
381814;87381814;VAUX SUR SEINE;LIGNE J;3.0;2.0;2.0;2.0
276758;87276758;NOINTEL MOURS;LIGNE H;3.0;3.0;3.0;3.0
271015;87271015;SAINT-DENIS;LIGNE H;3.0;2.0;2.0;2.0
276386;87276386;SARCELLES SAINT-BRICE;LIGNE H;2.0;2.0;2.0;2.0
276105;87276105;SAINT-OUEN L'AUMÔNE;LIGNE H;3.0;2.0;2.0;2.0
386318;87386318;NANTERRE UNIVERSITE;LIGNE L;3.0;2.0;2.0;2.0
116665;87116665;MAREUIL SUR-OURCQ;LIGNE P;0.0;0.0;0.0;0.0
276246;87276246;GOUSSAINVILLE;LIGNE D;3.0;2.0;2.0;2.0
276063;87276063;CERNAY;LIGNE H;3.0;2.0;2.0;2.0
381079;87381079;BOIS COLOMBES;LIGNE J;2.0;2.0;2.0;2.0
393876;87393876;NOISY LE ROI;LIGNE L;1.0;1.0;1.0;1.0
382879;87382879;MONTREUIL;LIGNE L;2.0;2.0;2.0;2.0
545459;87545459;NORVILLE-SAINT-GERMAIN-LES-ARPAJON (LA);LIGNE C;3.0;2.0;2.0;2.0
393504;87393504;PETIT JOUY - LES LOGES;LIGNE C;3.0;3.0;3.0;3.0
393256;87393256;VERRIERE (LA);LIGNE U;3.0;2.0;2.0;2.0
386573;87386573;POISSY;LIGNE A;2.0;2.0;2.0;2.0
337980;87337980;SAINT-OUEN-L'AUMONE LIESSE;LIGNE C;3.0;2.0;2.0;2.0
386052;87386052;ACHERES GRAND CORMIER;LIGNE A;3.0;3.0;3.0;3.0
381095;87381095;STADE (LE);LIGNE J;3.0;2.0;2.0;2.0
545111;87545111;MONNERVILLE;LIGNE C;3.0;3.0;3.0;3.0
545129;87545129;GUILLERVAL;LIGNE C;3.0;3.0;3.0;3.0
271510;87271510;VILLEPARISIS-MITRY-LE-NEUF;LIGNE B;2.0;2.0;2.0;2.0
381046;87381046;AVENUE HENRY-MARTIN;LIGNE C;3.0;2.0;2.0;2.0
113779;87113779;BOULLEREAUX CHAMPIGNY (LES);LIGNE E;2.0;2.0;2.0;2.0
393272;87393272;COIGNIERES;LIGNE N;3.0;3.0;3.0;3.0
545137;87545137;ETAMPES;LIGNE C;3.0;2.0;2.0;2.0
382366;87382366;VAL D'OR (LE);LIGNE L;2.0;2.0;2.0;2.0
337980;87337980;SAINT-OUEN L'AUMÔNE LIESSE;LIGNE H;2.0;2.0;2.0;2.0
276055;87276055;ERMONT EAUBONNE;LIGNE H;3.0;2.0;2.0;2.0
382267;87382267;VAUCRESSON;LIGNE L;2.0;2.0;2.0;2.0
393223;87393223;SAINT-CYR;LIGNE U;3.0;2.0;2.0;2.0
382473;87382473;ETANG LA VILLE (L');LIGNE L;3.0;2.0;2.0;2.0
697342;87697342;DUGNY LA COURNEUVE;LIGNE T11;1.0;1.0;1.0;1.0
116616;87116616;ISLES ARMENTIERES CONGIS;LIGNE P;3.0;3.0;3.0;3.0
546192;87546192;PONT DE RUNGIS - AEROPORT D'ORLY;LIGNE C;3.0;2.0;2.0;2.0
540179;87540179;DOURDAN-LA-FORÊT;LIGNE C;3.0;3.0;3.0;3.0
116673;87116673;FERTÉ MILON (LA);LIGNE P;0.0;2.0;2.0;2.0
271460;87271460;AEROPORT CHARLES DE GAULLE 1;LIGNE B;2.0;2.0;2.0;2.0
113514;87113514;GAGNY;LIGNE E;2.0;2.0;2.0;2.0
113803;87113803;YVRIS NOISY LE GRAND (LES);LIGNE E;3.0;2.0;2.0;2.0
684126;87684126;NEMOURS SAINT-PIERRE;LIGNE R;3.0;2.0;2.0;2.0
682104;87682104;MONTGERON CROSNE;LIGNE D;3.0;2.0;2.0;2.0
682401;87682401;LIVRY SUR SEINE;LIGNE R;3.0;3.0;3.0;3.0
276485;87276485;BOUFFÉMONT MOISSELLES;LIGNE H;2.0;2.0;2.0;2.0
681247;87681247;VERT DE MAISONS (LE);LIGNE D;3.0;2.0;2.0;2.0
682542;87682542;SAINT-FARGEAU;LIGNE D;3.0;3.0;3.0;3.0
272146;87272146;GRESILLONS (LES);LIGNE C;3.0;3.0;3.0;3.0
543181;87543181;BOULAINVILLIERS;LIGNE C;3.0;2.0;2.0;2.0
393652;87393652;PETIT VAUX;LIGNE C;3.0;3.0;3.0;3.0
276253;87276253;LOUVRES;LIGNE D;3.0;2.0;2.0;2.0
272039;87272039;SEUGY;LIGNE H;3.0;3.0;3.0;3.0
393488;87393488;DREUX;LIGNE N;0.0;2.0;2.0;2.0
386664;87386664;CLAIRIERES DE VERNEUIL (LES);LIGNE J;3.0;2.0;2.0;2.0
545517;87545517;SERMAISE;LIGNE C;3.0;3.0;3.0;3.0
116772;87116772;CRÉCY LA CHAPELLE;LIGNE P;3.0;3.0;3.0;3.0
681403;87681403;MOULIN GALANT;LIGNE D;3.0;3.0;3.0;3.0
393546;87393546;BIEVRES;LIGNE C;3.0;2.0;2.0;2.0
547026;87547026;PARIS AUSTERLITZ (BANLIEUE);LIGNE C;3.0;2.0;2.0;2.0
271528;87271528;MITRY-CLAYE;LIGNE B;2.0;2.0;2.0;2.0
681809;87681809;VILLENEUVE TRIAGE;LIGNE D;3.0;2.0;2.0;2.0
271411;87271411;AULNAY-SOUS-BOIS;LIGNE B;2.0;2.0;2.0;2.0
681478;87681478;BOUTIGNY;LIGNE D;3.0;3.0;3.0;3.0
381160;87381160;MONTGEROULT COURCELLES;LIGNE J;3.0;3.0;3.0;3.0
382382;87382382;PUTEAUX;LIGNE L;3.0;2.0;2.0;2.0
276592;87276592;GROS NOYER SAINT-PRIX;LIGNE H;3.0;2.0;2.0;2.0
113878;87113878;ALLEE DE LA TOUR RENDEZ VOUS;LIGNE T4;1.0;1.0;1.0;1.0
